iteration,weight_lbs,freeboard_in,gm_in,safety_factor
600,164.79,11.10,9.76,101.82
601,177.50,11.26,10.08,89.13
602,188.83,11.14,9.83,113.01
603,170.17,10.11,8.18,85.91
604,171.26,10.96,9.49,92.21
605,169.37,10.65,8.96,93.13
606,172.48,11.28,10.13,108.59
607,169.66,11.29,10.16,103.54
608,189.70,10.38,8.55,73.37
609,164.07,11.57,10.78,126.03
610,182.43,11.05,9.67,119.50
611,174.71,10.92,9.43,110.45
612,147.09,11.08,9.72,95.09
613,192.00,10.89,9.37,100.36
614,163.37,10.85,9.30,102.28
615,191.74,10.53,8.77,103.17
616,230.41,10.24,8.36,97.44
617,180.35,11.31,10.18,102.21
618,167.14,11.11,9.77,108.12
619,170.91,10.46,8.67,100.94
620,196.07,10.41,8.60,108.70
621,169.36,11.54,10.72,123.35
622,153.09,10.94,9.46,112.98
623,207.61,11.53,10.68,115.35
624,173.57,10.92,9.43,118.63
625,222.55,9.81,7.82,90.12
626,187.91,11.24,10.04,99.15
627,158.51,11.39,10.37,128.35
628,194.99,10.48,8.69,102.39
629,175.91,11.57,10.78,110.67
630,199.04,11.03,9.63,99.82
631,167.37,10.74,9.11,103.16
632,171.76,11.22,10.00,114.48
633,161.98,11.12,9.80,109.58
634,187.87,10.53,8.78,99.72
635,160.15,10.86,9.32,120.16
636,153.75,10.97,9.51,115.80
637,164.28,11.15,9.86,110.22
638,182.17,10.73,9.09,109.51
639,196.26,10.84,9.28,90.42
640,146.08,10.94,9.47,108.72
641,171.80,11.16,9.88,127.26
642,214.76,10.73,9.10,97.38
643,170.70,11.37,10.33,102.43
644,168.56,10.99,9.56,97.64
645,154.19,11.41,10.42,101.03
646,179.16,11.37,10.32,102.68
647,148.40,11.01,9.59,101.27
648,190.64,10.74,9.10,85.82
649,192.39,10.49,8.71,96.06
650,226.12,10.76,9.14,108.18
651,200.94,10.58,8.86,88.85
652,189.81,10.60,8.88,113.05
653,175.25,10.75,9.12,105.63
654,159.08,11.39,10.36,123.92
655,202.84,10.68,9.01,92.79
656,169.70,10.82,9.24,110.69
657,177.27,10.91,9.41,92.01
658,196.60,11.65,10.98,127.09
659,158.55,10.98,9.53,106.97
660,192.41,9.89,7.91,92.78
661,191.26,10.97,9.52,91.35
662,167.61,11.29,10.14,100.36
663,137.70,11.04,9.64,113.25
664,159.48,10.91,9.41,93.88
665,189.58,10.34,8.49,98.02
666,174.78,11.46,10.52,98.03
667,155.18,10.77,9.15,110.16
668,177.85,10.67,8.99,87.39
669,164.05,11.07,9.70,111.36
670,193.49,10.66,8.99,105.17
671,180.59,10.47,8.68,89.72
672,150.88,10.74,9.11,106.56
673,164.74,11.48,10.57,117.23
674,155.58,10.73,9.09,95.43
675,187.93,10.87,9.34,91.40
676,162.30,10.99,9.55,84.32
677,184.44,10.84,9.28,104.89
678,217.61,10.70,9.04,83.48
679,200.17,10.26,8.38,93.72
680,177.29,10.95,9.48,101.56
681,187.61,11.31,10.19,117.84
682,164.21,11.17,9.90,104.71
683,154.70,11.00,9.57,101.96
684,184.15,10.36,8.52,101.47
685,144.84,10.89,9.37,107.22
686,201.44,11.10,9.77,109.30
687,164.34,9.97,8.01,94.01
688,174.44,10.83,9.26,86.17
689,185.38,10.33,8.48,101.31
690,173.54,11.01,9.58,111.59
691,181.04,10.67,8.99,88.97
692,175.59,10.58,8.85,95.89
693,179.12,10.40,8.58,94.43
694,155.78,10.63,8.92,98.19
695,181.57,10.52,8.77,100.34
696,204.31,10.86,9.32,115.79
697,159.65,11.28,10.12,122.59
698,152.67,10.95,9.48,90.72
699,191.39,10.43,8.62,101.43
700,175.73,11.02,9.61,119.09
701,175.64,10.49,8.71,100.11
702,192.06,10.21,8.31,102.48
703,178.72,11.29,10.15,131.83
704,179.87,11.25,10.06,119.77
705,167.41,11.04,9.65,108.01
706,175.20,10.80,9.22,112.33
707,174.08,11.16,9.88,108.82
708,224.68,10.03,8.07,89.40
709,154.40,10.90,9.39,99.60
710,170.69,10.95,9.47,120.91
711,195.23,11.39,10.37,102.30
712,171.38,11.51,10.63,132.17
713,133.40,11.10,9.77,113.55
714,192.49,11.70,11.10,101.57
715,164.79,10.58,8.86,101.98
716,182.08,10.95,9.48,82.21
717,180.96,9.54,7.52,89.47
718,178.84,9.95,7.97,96.99
719,183.08,10.95,9.48,97.46
720,166.34,11.04,9.64,107.11
721,185.82,10.44,8.64,114.37
722,155.56,10.36,8.52,90.10
723,174.52,11.62,10.89,104.06
724,191.56,11.56,10.76,132.34
725,159.57,11.30,10.17,132.78
726,191.12,10.58,8.85,97.39
727,165.23,10.79,9.20,112.01
728,191.32,10.37,8.54,107.19
729,175.76,11.43,10.45,104.29
730,197.86,11.74,11.20,112.52
731,172.08,10.60,8.88,110.51
732,160.20,11.38,10.34,131.11
733,177.42,11.76,11.24,126.76
734,154.93,11.01,9.59,96.01
735,197.48,10.45,8.65,114.55
736,149.98,11.16,9.88,102.98
737,158.18,11.24,10.04,106.26
738,163.49,11.08,9.72,110.62
739,206.16,10.87,9.34,117.94
740,213.73,11.22,10.01,117.05
741,156.88,11.36,10.29,116.19
742,160.60,10.82,9.24,106.57
743,170.08,10.83,9.27,102.44
744,194.41,10.73,9.09,105.19
745,162.40,11.43,10.46,84.93
746,171.98,11.03,9.63,102.12
