# NAU Concrete Canoe 2026 — Design C CNC Coordinates
# Design C — Long & Stable (Speed)
# Hull: 216" × 36" × 18", thickness 0.5"
# Stations every 6.0" (37 stations)
# Format: Station_Number, Position_in, X_coord, Y_coord
# Cross-section: V-bottom, deadrise=15°, depth=18"
# Origin: keel centerline at bottom

Station, Pos(in), X(in), Y(in)
# --- Station 0 at 0" (beam=0.0") ---
18, 108.0, 18.000, 4.823
18, 108.0, 18.000, 18.000
18, 108.0, -18.000, 18.000
# --- Station 19 at 114" (beam=35.9") ---
19, 114.0, -17.932, 4.805
19, 114.0, -16.138, 4.324
19, 114.0, -14.345, 3.844
19, 114.0, -12.552, 3.363
19, 114.0, -10.759, 2.883
19, 114.0, -8.966, 2.402
19, 114.0, -7.173, 1.922
19, 114.0, -5.379, 1.441
19, 114.0, -3.586, 0.961
19, 114.0, -1.793, 0.480
19, 114.0, 0.000, 0.000
19, 114.0, 1.793, 0.480
19, 114.0, 3.586, 0.961
19, 114.0, 5.379, 1.441
19, 114.0, 7.173, 1.922
19, 114.0, 8.966, 2.402
19, 114.0, 10.759, 2.883
19, 114.0, 12.552, 3.363
19, 114.0, 14.345, 3.844
19, 114.0, 16.138, 4.324
19, 114.0, 17.932, 4.805
19, 114.0, 17.932, 18.000
19, 114.0, -17.932, 18.000
# --- Station 20 at 120" (beam=35.5") ---
20, 120.0, -17.727, 4.750
20, 120.0, -15.954, 4.275
20, 120.0, -14.181, 3.800
20, 120.0, -12.409, 3.325
20, 120.0, -10.636, 2.850
20, 120.0, -8.863, 2.375
20, 120.0, -7.091, 1.900
20, 120.0, -5.318, 1.425
20, 120.0, -3.545, 0.950
20, 120.0, -1.773, 0.475
20, 120.0, 0.000, 0.000
20, 120.0, 1.773, 0.475
20, 120.0, 3.545, 0.950
20, 120.0, 5.318, 1.425
20, 120.0, 7.091, 1.900
20, 120.0, 8.863, 2.375
20, 120.0, 10.636, 2.850
20, 120.0, 12.409, 3.325
20, 120.0, 14.181, 3.800
20, 120.0, 15.954, 4.275
20, 120.0, 17.727, 4.750
20, 120.0, 17.727, 18.000
20, 120.0, -17.727, 18.000
# --- Station 21 at 126" (beam=34.8") ---
21, 126.0, -17.387, 4.659
21, 126.0, -15.648, 4.193
21, 126.0, -13.909, 3.727
21, 126.0, -12.171, 3.261
21, 126.0, -10.432, 2.795
21, 126.0, -8.693, 2.329
21, 126.0, -6.955, 1.863
21, 126.0, -5.216, 1.398
21, 126.0, -3.477, 0.932
21, 126.0, -1.739, 0.466
21, 126.0, 0.000, 0.000
21, 126.0, 1.739, 0.466
21, 126.0, 3.477, 0.932
21, 126.0, 5.216, 1.398
21, 126.0, 6.955, 1.863
21, 126.0, 8.693, 2.329
21, 126.0, 10.432, 2.795
21, 126.0, 12.171, 3.261
21, 126.0, 13.909, 3.727
21, 126.0, 15.648, 4.193
21, 126.0, 17.387, 4.659
21, 126.0, 17.387, 18.000
21, 126.0, -17.387, 18.000
# --- Station 22 at 132" (beam=33.8") ---
22, 132.0, -16.914, 4.532
22, 132.0, -15.223, 4.079
22, 132.0, -13.532, 3.626
22, 132.0, -11.840, 3.173
22, 132.0, -10.149, 2.719
22, 132.0, -8.457, 2.266
22, 132.0, -6.766, 1.813
22, 132.0, -5.074, 1.360
22, 132.0, -3.383, 0.906
22, 132.0, -1.691, 0.453
22, 132.0, 0.000, 0.000
22, 132.0, 1.691, 0.453
22, 132.0, 3.383, 0.906
22, 132.0, 5.074, 1.360
22, 132.0, 6.766, 1.813
22, 132.0, 8.457, 2.266
22, 132.0, 10.149, 2.719
22, 132.0, 11.840, 3.173
22, 132.0, 13.532, 3.626
22, 132.0, 15.223, 4.079
22, 132.0, 16.914, 4.532
22, 132.0, 16.914, 18.000
22, 132.0, -16.914, 18.000
# --- Station 23 at 138" (beam=32.6") ---
23, 138.0, -16.314, 4.371
23, 138.0, -14.682, 3.934
23, 138.0, -13.051, 3.497
23, 138.0, -11.419, 3.060
23, 138.0, -9.788, 2.623
23, 138.0, -8.157, 2.186
23, 138.0, -6.525, 1.748
23, 138.0, -4.894, 1.311
23, 138.0, -3.263, 0.874
23, 138.0, -1.631, 0.437
23, 138.0, 0.000, 0.000
23, 138.0, 1.631, 0.437
23, 138.0, 3.263, 0.874
23, 138.0, 4.894, 1.311
23, 138.0, 6.525, 1.748
23, 138.0, 8.157, 2.186
23, 138.0, 9.788, 2.623
23, 138.0, 11.419, 3.060
23, 138.0, 13.051, 3.497
23, 138.0, 14.682, 3.934
23, 138.0, 16.314, 4.371
23, 138.0, 16.314, 18.000
23, 138.0, -16.314, 18.000
# --- Station 24 at 144" (beam=31.2") ---
24, 144.0, -15.588, 4.177
24, 144.0, -14.030, 3.759
24, 144.0, -12.471, 3.342
24, 144.0, -10.912, 2.924
24, 144.0, -9.353, 2.506
24, 144.0, -7.794, 2.088
24, 144.0, -6.235, 1.671
24, 144.0, -4.677, 1.253
24, 144.0, -3.118, 0.835
24, 144.0, -1.559, 0.418
24, 144.0, 0.000, 0.000
24, 144.0, 1.559, 0.418
24, 144.0, 3.118, 0.835
24, 144.0, 4.677, 1.253
24, 144.0, 6.235, 1.671
24, 144.0, 7.794, 2.088
24, 144.0, 9.353, 2.506
24, 144.0, 10.912, 2.924
24, 144.0, 12.471, 3.342
24, 144.0, 14.030, 3.759
24, 144.0, 15.588, 4.177
24, 144.0, 15.588, 18.000
24, 144.0, -15.588, 18.000
# --- Station 25 at 150" (beam=29.5") ---
25, 150.0, -14.745, 3.951
25, 150.0, -13.270, 3.556
25, 150.0, -11.796, 3.161
25, 150.0, -10.321, 2.766
25, 150.0, -8.847, 2.371
25, 150.0, -7.372, 1.975
25, 150.0, -5.898, 1.580
25, 150.0, -4.423, 1.185
25, 150.0, -2.949, 0.790
25, 150.0, -1.474, 0.395
25, 150.0, 0.000, 0.000
25, 150.0, 1.474, 0.395
25, 150.0, 2.949, 0.790
25, 150.0, 4.423, 1.185
25, 150.0, 5.898, 1.580
25, 150.0, 7.372, 1.975
25, 150.0, 8.847, 2.371
25, 150.0, 10.321, 2.766
25, 150.0, 11.796, 3.161
25, 150.0, 13.270, 3.556
25, 150.0, 14.745, 3.951
25, 150.0, 14.745, 18.000
25, 150.0, -14.745, 18.000
# --- Station 26 at 156" (beam=27.6") ---
26, 156.0, -13.789, 3.695
26, 156.0, -12.410, 3.325
26, 156.0, -11.031, 2.956
26, 156.0, -9.652, 2.586
26, 156.0, -8.273, 2.217
26, 156.0, -6.894, 1.847
26, 156.0, -5.516, 1.478
26, 156.0, -4.137, 1.108
26, 156.0, -2.758, 0.739
26, 156.0, -1.379, 0.369
26, 156.0, 0.000, 0.000
26, 156.0, 1.379, 0.369
26, 156.0, 2.758, 0.739
26, 156.0, 4.137, 1.108
26, 156.0, 5.516, 1.478
26, 156.0, 6.894, 1.847
26, 156.0, 8.273, 2.217
26, 156.0, 9.652, 2.586
26, 156.0, 11.031, 2.956
26, 156.0, 12.410, 3.325
26, 156.0, 13.789, 3.695
26, 156.0, 13.789, 18.000
26, 156.0, -13.789, 18.000
# --- Station 27 at 162" (beam=25.5") ---
27, 162.0, -12.728, 3.410
27, 162.0, -11.455, 3.069
27, 162.0, -10.182, 2.728
27, 162.0, -8.910, 2.387
27, 162.0, -7.637, 2.046
27, 162.0, -6.364, 1.705
27, 162.0, -5.091, 1.364
27, 162.0, -3.818, 1.023
27, 162.0, -2.546, 0.682
27, 162.0, -1.273, 0.341
27, 162.0, 0.000, 0.000
27, 162.0, 1.273, 0.341
27, 162.0, 2.546, 0.682
27, 162.0, 3.818, 1.023
27, 162.0, 5.091, 1.364
27, 162.0, 6.364, 1.705
27, 162.0, 7.637, 2.046
27, 162.0, 8.910, 2.387
27, 162.0, 10.182, 2.728
27, 162.0, 11.455, 3.069
27, 162.0, 12.728, 3.410
27, 162.0, 12.728, 18.000
27, 162.0, -12.728, 18.000
# --- Station 28 at 168" (beam=23.1") ---
28, 168.0, -11.570, 3.100
28, 168.0, -10.413, 2.790
28, 168.0, -9.256, 2.480
28, 168.0, -8.099, 2.170
28, 168.0, -6.942, 1.860
28, 168.0, -5.785, 1.550
28, 168.0, -4.628, 1.240
28, 168.0, -3.471, 0.930
28, 168.0, -2.314, 0.620
28, 168.0, -1.157, 0.310
28, 168.0, 0.000, 0.000
28, 168.0, 1.157, 0.310
28, 168.0, 2.314, 0.620
28, 168.0, 3.471, 0.930
28, 168.0, 4.628, 1.240
28, 168.0, 5.785, 1.550
28, 168.0, 6.942, 1.860
28, 168.0, 8.099, 2.170
28, 168.0, 9.256, 2.480
28, 168.0, 10.413, 2.790
28, 168.0, 11.570, 3.100
28, 168.0, 11.570, 18.000
28, 168.0, -11.570, 18.000
# --- Station 29 at 174" (beam=20.6") ---
29, 174.0, -10.324, 2.766
