# NAU Concrete Canoe 2026 — Design A CNC Coordinates
# Design A — Optimal (Lightest)
# Hull: 192" × 32" × 17", thickness 0.5"
# Stations every 6.0" (33 stations)
# Format: Station_Number, Position_in, X_coord, Y_coord
# Cross-section: V-bottom, deadrise=15°, depth=17"
# Origin: keel centerline at bottom

Station, Pos(in), X(in), Y(in)
# --- Station 0 at 0" (beam=0.0") ---
22, 132.0, 10.643, 2.852
22, 132.0, 11.973, 3.208
22, 132.0, 13.304, 3.565
22, 132.0, 13.304, 17.000
22, 132.0, -13.304, 17.000
# --- Station 23 at 138" (beam=24.7") ---
23, 138.0, -12.368, 3.314
23, 138.0, -11.131, 2.983
23, 138.0, -9.895, 2.651
23, 138.0, -8.658, 2.320
23, 138.0, -7.421, 1.988
23, 138.0, -6.184, 1.657
23, 138.0, -4.947, 1.326
23, 138.0, -3.710, 0.994
23, 138.0, -2.474, 0.663
23, 138.0, -1.237, 0.331
23, 138.0, 0.000, 0.000
23, 138.0, 1.237, 0.331
23, 138.0, 2.474, 0.663
23, 138.0, 3.710, 0.994
23, 138.0, 4.947, 1.326
23, 138.0, 6.184, 1.657
23, 138.0, 7.421, 1.988
23, 138.0, 8.658, 2.320
23, 138.0, 9.895, 2.651
23, 138.0, 11.131, 2.983
23, 138.0, 12.368, 3.314
23, 138.0, 12.368, 17.000
23, 138.0, -12.368, 17.000
# --- Station 24 at 144" (beam=22.6") ---
24, 144.0, -11.314, 3.031
24, 144.0, -10.182, 2.728
24, 144.0, -9.051, 2.425
24, 144.0, -7.920, 2.122
24, 144.0, -6.788, 1.819
24, 144.0, -5.657, 1.516
24, 144.0, -4.525, 1.213
24, 144.0, -3.394, 0.909
24, 144.0, -2.263, 0.606
24, 144.0, -1.131, 0.303
24, 144.0, 0.000, 0.000
24, 144.0, 1.131, 0.303
24, 144.0, 2.263, 0.606
24, 144.0, 3.394, 0.909
24, 144.0, 4.525, 1.213
24, 144.0, 5.657, 1.516
24, 144.0, 6.788, 1.819
24, 144.0, 7.920, 2.122
24, 144.0, 9.051, 2.425
24, 144.0, 10.182, 2.728
24, 144.0, 11.314, 3.031
24, 144.0, 11.314, 17.000
24, 144.0, -11.314, 17.000
# --- Station 25 at 150" (beam=20.3") ---
25, 150.0, -10.150, 2.720
25, 150.0, -9.135, 2.448
25, 150.0, -8.120, 2.176
25, 150.0, -7.105, 1.904
25, 150.0, -6.090, 1.632
25, 150.0, -5.075, 1.360
25, 150.0, -4.060, 1.088
25, 150.0, -3.045, 0.816
25, 150.0, -2.030, 0.544
25, 150.0, -1.015, 0.272
25, 150.0, 0.000, 0.000
25, 150.0, 1.015, 0.272
25, 150.0, 2.030, 0.544
25, 150.0, 3.045, 0.816
25, 150.0, 4.060, 1.088
25, 150.0, 5.075, 1.360
25, 150.0, 6.090, 1.632
25, 150.0, 7.105, 1.904
25, 150.0, 8.120, 2.176
25, 150.0, 9.135, 2.448
25, 150.0, 10.150, 2.720
25, 150.0, 10.150, 17.000
25, 150.0, -10.150, 17.000
# --- Station 26 at 156" (beam=17.8") ---
