# NAU Concrete Canoe 2026 — Design B CNC Coordinates
# Design B — Conservative (Extra Margin)
# Hull: 196" × 34" × 18", thickness 0.5"
# Stations every 6.0" (33 stations)
# Format: Station_Number, Position_in, X_coord, Y_coord
# Cross-section: V-bottom, deadrise=15°, depth=18"
# Origin: keel centerline at bottom

Station, Pos(in), X(in), Y(in)
# --- Station 0 at 0" (beam=0.0") ---
18, 108.0, -10.069, 2.698
18, 108.0, -8.391, 2.248
18, 108.0, -6.713, 1.799
18, 108.0, -5.035, 1.349
18, 108.0, -3.356, 0.899
18, 108.0, -1.678, 0.450
18, 108.0, 0.000, 0.000
18, 108.0, 1.678, 0.450
18, 108.0, 3.356, 0.899
18, 108.0, 5.035, 1.349
18, 108.0, 6.713, 1.799
18, 108.0, 8.391, 2.248
18, 108.0, 10.069, 2.698
18, 108.0, 11.747, 3.148
18, 108.0, 13.426, 3.597
18, 108.0, 15.104, 4.047
18, 108.0, 16.782, 4.497
18, 108.0, 16.782, 18.000
18, 108.0, -16.782, 18.000
# --- Station 19 at 114" (beam=32.9") ---
19, 114.0, -16.444, 4.406
19, 114.0, -14.800, 3.966
19, 114.0, -13.155, 3.525
19, 114.0, -11.511, 3.084
19, 114.0, -9.866, 2.644
19, 114.0, -8.222, 2.203
19, 114.0, -6.578, 1.762
19, 114.0, -4.933, 1.322
19, 114.0, -3.289, 0.881
19, 114.0, -1.644, 0.441
19, 114.0, 0.000, 0.000
19, 114.0, 1.644, 0.441
19, 114.0, 3.289, 0.881
19, 114.0, 4.933, 1.322
19, 114.0, 6.578, 1.762
19, 114.0, 8.222, 2.203
19, 114.0, 9.866, 2.644
19, 114.0, 11.511, 3.084
19, 114.0, 13.155, 3.525
19, 114.0, 14.800, 3.966
19, 114.0, 16.444, 4.406
19, 114.0, 16.444, 18.000
19, 114.0, -16.444, 18.000
# --- Station 20 at 120" (beam=31.9") ---
20, 120.0, -15.954, 4.275
20, 120.0, -14.359, 3.847
20, 120.0, -12.763, 3.420
20, 120.0, -11.168, 2.992
20, 120.0, -9.572, 2.565
20, 120.0, -7.977, 2.137
20, 120.0, -6.382, 1.710
20, 120.0, -4.786, 1.282
20, 120.0, -3.191, 0.855
20, 120.0, -1.595, 0.427
20, 120.0, 0.000, 0.000
20, 120.0, 1.595, 0.427
20, 120.0, 3.191, 0.855
20, 120.0, 4.786, 1.282
20, 120.0, 6.382, 1.710
20, 120.0, 7.977, 2.137
20, 120.0, 9.572, 2.565
20, 120.0, 11.168, 2.992
20, 120.0, 12.763, 3.420
20, 120.0, 14.359, 3.847
20, 120.0, 15.954, 4.275
20, 120.0, 15.954, 18.000
20, 120.0, -15.954, 18.000
# --- Station 21 at 126" (beam=30.6") ---
21, 126.0, -15.316, 4.104
21, 126.0, -13.785, 3.694
21, 126.0, -12.253, 3.283
21, 126.0, -10.722, 2.873
21, 126.0, -9.190, 2.462
21, 126.0, -7.658, 2.052
21, 126.0, -6.127, 1.642
21, 126.0, -4.595, 1.231
21, 126.0, -3.063, 0.821
21, 126.0, -1.532, 0.410
21, 126.0, 0.000, 0.000
21, 126.0, 1.532, 0.410
21, 126.0, 3.063, 0.821
21, 126.0, 4.595, 1.231
21, 126.0, 6.127, 1.642
21, 126.0, 7.658, 2.052
21, 126.0, 9.190, 2.462
21, 126.0, 10.722, 2.873
21, 126.0, 12.253, 3.283
21, 126.0, 13.785, 3.694
21, 126.0, 15.316, 4.104
21, 126.0, 15.316, 18.000
21, 126.0, -15.316, 18.000
# --- Station 22 at 132" (beam=29.1") ---
22, 132.0, -14.537, 3.895
22, 132.0, -13.084, 3.506
22, 132.0, -11.630, 3.116
22, 132.0, -10.176, 2.727
22, 132.0, -8.722, 2.337
22, 132.0, -7.269, 1.948
22, 132.0, -5.815, 1.558
22, 132.0, -4.361, 1.169
22, 132.0, -2.907, 0.779
22, 132.0, -1.454, 0.390
22, 132.0, 0.000, 0.000
22, 132.0, 1.454, 0.390
22, 132.0, 2.907, 0.779
22, 132.0, 4.361, 1.169
22, 132.0, 5.815, 1.558
22, 132.0, 7.269, 1.948
22, 132.0, 8.722, 2.337
